# Stock Analysis Data Export
# Symbol: AAPL
# Export Date: 2025-08-30T21:45:17.782461
# Data Points: 434
# Date Range: 2024-01-02 to 2025-08-29
# Features: 50 technical indicators included
#
,Close,High,Low,Open,Volume,Daily_Return,Log_Return,Price_Range,Price_Change,MA_5,MA_5_Signal,MA_10,MA_10_Signal,MA_20,MA_20_Signal,MA_50,MA_50_Signal,MA_100,MA_100_Signal,MA_200,MA_200_Signal,EMA_12,EMA_26,RSI_14,RSI_7,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,Williams_R_14,Williams_R_21,Momentum_5,ROC_5,Momentum_10,ROC_10,Momentum_20,ROC_20,Volatility_10,Volatility_30,Volume_MA_10,Volume_Ratio,Price_Volume,Support,Resistance,Trend_5,Trend_20
2024-01-16,182.0883789062,182.7130795887,179.4110340675,180.6307187628,65603000,-0.0123170847,-0.0123935686,3.3020455211,1.4576601435,183.8930938721,-1,182.9798278809,-1,,-1,,-1,,-1,,-1,183.311916216,183.2005453042,,63.5061127681,0.1113709118,0.10918666240000001,0.0021842494000000002,,,,,,,,-1.4973144531,-0.8155943013,-1.9931030273,-1.0827286951,,,0.0105917118,,53724400.0,1.2211025158,11945543921.386719,,,-1,-1
2024-01-17,181.1463623047,181.3942635111,178.7863531083,179.7482109997,47317400,-0.0051734032,-0.0051868316000000005,2.6079104028,1.398151305,183.1969909668,-1,182.8241470337,-1,,-1,,-1,,-1,,-1,182.9268878397,182.9481565562,,24.4680357635,-0.021268716400000002,0.0811703181,-0.1024390345,,,,,,,,-3.4805145264,-1.8851613514,-1.5568084717000001,-0.8520971284000001,,,0.0104595986,,52614690.0,0.8993191825,8571374883.71582,,,-1,-1
2024-01-18,187.0463867188,187.5520996344,184.2698907209,184.5277024784,78005800,0.0325704824,0.0320513074,3.2822089135,2.5186842404,183.7998840332,1,183.4905029297,1,,-1,,-1,,-1,,-1,183.6421893428,183.4282634805,,65.622244754,0.21392586230000002,0.10926600360000001,0.1046598587,,,,,,,,3.014465332,1.6380122043,6.66355896,3.6941204674,,,0.0139533124,,53216910.0,1.4658085184,14590703033.105469,,,1,-1
2024-01-19,189.9518127441,190.3385380103,187.2348252804,187.7405382805,68903000,0.0155331844,0.0154137794,3.1037127299,2.2112744636,184.9184173584,1,184.5197906494,1,,-1,,-1,,-1,,-1,184.7165167531,184.160935698,62.6713032618,70.5748275777,0.555581055,0.2026354453,0.3529456097,,,,,,-3.3106871564,,5.592666626,3.0335715606,10.2928771973,5.7291206618,,,0.014117673800000001,,53869240.0,1.279078747,13088249753.509523,,,1,-1
2024-01-22,192.26222229,193.6901353869,190.6459018914,190.68557455,60133900,0.012163135,0.0120897585,3.0442334956,1.5766477399999999,186.4990325928,1,185.3457946777,1,,-1,,-1,,-1,,-1,185.9805516085,185.0372964628,66.0568571228,78.0785164193,0.9432551457,0.3561610888,0.5870940569,,,,,,-9.4987038727,,7.9030761719000004,4.2867828032,8.2600402832,4.4890990928,,,0.0128201297,,53968180.0,1.1142473213,11561477248.966978,,,1,-1
2024-01-23,193.5413970947,194.1066190336,192.202739835,193.3827518429,42355600,0.0066532821,0.0066312467,1.9038791985999999,0.1586452519,188.7896362305,1,186.3413650513,1,,-1,,-1,,-1,,-1,187.230040939,185.9268952484,71.3559825519,79.4155487382,1.3031456906,0.5510434602000001,0.7521022303,,,,,,-3.6585841504000003,,11.4530181885,6.2898128136,9.9557037354,5.4229191574,,,0.0126077858,,53919560.0,0.7855331164,8197561998.7854,,,1,-1
2024-01-24,192.8671417236,194.731363668,192.7084813176,193.7794163624,53631300,-0.0034837786,-0.0034898611,2.0228823504,-0.9122746387,191.1337921143,1,187.1653915405,1,,-1,,-1,,-1,,-1,188.1511053506,186.6313908739,76.3059543131,76.1268792254,1.5197144767,0.7492406679,0.7704738088,,,,,,-11.5977883796,,11.7207794189,6.4703366216,8.2402648926,4.4631989849,,,0.012911854,,54603400.0,0.9821970793,10343715537.922668,,,1,-1
2024-01-25,192.5398864746,194.6222624368,191.4887878934,193.5810744557,54822100,-0.0016967911,-0.0016982323000000001,3.1334745434,-1.0411879811,192.2324920654,1,188.0161880493,1,,-1,,-1,,-1,,-1,188.8614212345,187.2151398223,77.6031087283,86.4454523397,1.6462814122,0.9319400360000001,0.7143413762,,,,,,-13.7439682787,,5.4934997559,2.9369718668,8.5079650879,4.6230920287,,,0.0128198055,,55172770.0,0.9936441473000001,10555440910.29968,,,1,-1
2024-01-26,190.8045806885,193.1249321297,190.3286146538,192.6390554947,44594000,-0.0090127081,-0.0090535682,2.7963174759,-1.8344748062,192.4030456543,-1,188.6607315063,1,,-1,,-1,,-1,,-1,189.1734212916,187.5612138606,66.4115005154,81.9135387287,1.612207431,1.0699829226,0.5422245083,,,,,,-24.6270327937,,0.8527679443,0.4489390925,6.4454345703,3.4961295417000002,,,0.0135190555,,55584390.0,0.8022756029,8508739471.221924,,,1,-1
2024-01-29,190.1203765869,190.586432035,187.9884324031,190.3980247095,47145600,-0.0035858893,-0.0035923340000000004,2.597999632,-0.2776481226,191.9746765137,-1,189.2368545532,1,186.2079963684,1,,-1,,-1,,-1,189.3244530412,187.8025623573,65.5645486627,65.5001023302,1.5218906839000002,1.1614186571,0.3604720267,195.2466001157,186.2079963684,177.1693926211,18.0772074946,0.7164261388000001,-28.9180559887,,-2.1418457031,-1.1140231698,5.7612304688,3.1250038797,,,0.013669622400000001,,56251170.0,0.8381265670000001,8963339226.416018,178.6574202287,194.731363668,-1,-1
2024-01-30,186.4613647461,190.1898085739,185.8961578635,189.3370278187,55859400,-0.0192457637,-0.0194333744,4.2936507105,-2.8756630726,190.5586700439,-1,189.6741531372,-1,186.326990509,1,,-1,,-1,,-1,188.8703771185,187.6785857132,53.8849756383,33.6430487784,1.1917914054,1.1675497562000001,0.0242416492,195.3102104084,186.326990509,177.3437706096,17.9664397988,0.50747918,-51.8657475385,-51.4497201831,-7.0800323486,-3.6581488275,4.3729858398,2.4015732723,2.3798828125,1.2928420542,0.014679821800000001,,55276810.0,1.0105395011,10415619957.897947,178.6574202287,194.731363668,-1,1
2024-01-31,182.8519134521,185.5292584345,182.8023453182,185.4697494385,55467800,-0.0193576364,-0.0195474489,2.7269131163,-2.6178359864000003,188.5556243896,-1,189.844708252,-1,186.3344276428,-1,,-1,,-1,,-1,187.9203824019,187.2404665789,47.7839832881,10.6877041426,0.6799158230000001,1.0692979995,-0.3893821765,195.3052531489,186.3344276428,177.3636021367,17.9416510122,0.3058977856,-74.502617426,-73.905014415,-10.0152282715,-5.1928120996,1.7055511475,0.9415320991,0.1487426758,0.0814122027,0.016115696500000002,,56091850.0,0.9888744978,10142393364.98108,178.6574202287,194.731363668,-1,1
2024-02-01,185.2912597656,185.3805005596,182.2767880551,182.4453590429,64885400,0.0133405567,0.013252355,3.1037125045,2.8459007227,187.1058990479,-1,189.6691955566,-1,186.5798492432,-1,,-1,,-1,,-1,187.5070376423,187.0664418112,51.621820383,18.5800739414,0.4405958311,0.9428109179,-0.5022150868,195.1235036633,186.5798492432,178.036194823,17.0873088403,0.4245879214,-59.204124494,-58.7292342917,-7.248626709,-3.7647403048,-1.7551269531,-0.9383378016,4.9084320068,2.721119337,0.012728460300000001,,54779810.0,1.1844765435,12022697506.396484,178.6574202287,194.731363668,-1,1
2024-02-02,184.2897491455,185.7573199413,177.7451517324,178.3500312361,102551700,-0.005405061300000001,-0.0054197215,8.012168209,5.9397179094,185.8029327393,-1,189.1029891968,-1,186.8113899231,-1,,-1,,-1,,-1,187.0029224419,186.8222523581,49.8833199926,18.1282020461,0.18067008380000002,0.789659514,-0.6089894302000001,194.7981544598,186.8113899231,178.8246253864,15.9735290733,0.3421362765,-61.471118823,-61.471118823,-6.514831543,-3.4143999685,-5.6620635986,-2.9807894522,4.6308135986,2.5775581852,0.0113813513,,58144680.0,1.7637331567,18899227067.445374,177.7451517324,194.731363668,-1,1
2024-02-05,186.104385376,187.6612122063,184.2798361383,186.5704408519,69668800,0.0098466477,0.0097984853,3.3813760679,-0.4660554759,184.9997344971,1,188.4872055054,-1,186.9165000916,-1,,-1,,-1,,-1,186.8625303313,186.7599848559,56.8574595355,28.4671741539,0.1025454754,0.6517155688,-0.5491700934,194.8022925157,186.9165000916,179.0307076674,15.7715848482,0.4485077294,-50.7881234775,-50.7881234775,-4.0159912109,-2.1123412877,-6.1578369141,-3.2028324861,2.1022033691,1.1424882826,0.0110582629,,59098170.0,1.1788656062,12965669203.881836,177.7451517324,194.731363668,-1,1
2024-02-06,187.7107696533,187.7206802531,185.202011014,185.2912518041,43490800,0.0086316304,0.0085945909,2.5186692391000003,2.4195178492,185.2496154785,1,187.9041427612,-1,187.1227539063,1,,-1,,-1,,-1,186.9947464668,186.8414240871,60.9602627579,39.5581973579,0.1533223797,0.5517347575,-0.3984123778,194.8560443228,187.1227539063,179.3894634897,15.4665808332,0.5380184705000001,-41.3311339884,-41.3311339884,1.2494049072,0.6700610118,-5.8306274414,-3.0125996448,4.1250762939,2.2469486693,0.0112696969,,59211690.0,0.7344968536,8163691540.838623,177.7451517324,194.731363668,1,1
2024-02-07,187.8198699951,189.4461012722,187.0265831239,189.0395396703,53439000,0.0005812151,0.0005810463,2.4195181483,-1.2196696752,186.2432067871,1,187.3994155884,1,187.2824035645,1,,-1,,-1,,-1,187.1230995851,186.9242731755,51.6010518915,41.922061389,0.1988264096,0.48098201830000004,-0.2821556087,194.9301038224,187.2824035645,179.6347033065,15.2954005159,0.5351390884,-40.6888463364,-40.6888463364,4.967956543,2.7169289340000002,-5.0472717285,-2.6169681799999998,3.1929931641,1.7294303077,0.0113233677,,59192460.0,0.9028007959000001,10036906032.669067,177.7451517324,194.731363668,1,1
2024-02-08,186.7390136719,187.9487575459,185.7771558545,187.8000228858,40962000,-0.0057547496,-0.005771372,2.1716016914,-1.0610092139,186.5327575684,1,186.8193283081,-1,187.4177581787,-1,,-1,,-1,,-1,187.0634546208,186.9087510183,42.8063831503,51.190473075,0.1547036025,0.4155998677,-0.26089626520000003,194.9176246635,187.4177581787,179.9178916939,14.9997329696,0.4547495607,-47.0519856128,-47.0519856128,1.4477539062,0.7813395559,-5.8008728027,-3.0128161541,2.7070922852,1.4709906112,0.011360437800000001,,57806450.0,0.7086060466,7649203478.027344,177.7451517324,194.731363668,1,1
2024-02-09,187.5035095215,188.6353807394,186.6595639437,187.3049233973,45155200,0.0040939268,0.0040855695000000004,1.9758167957000001,0.19858612420000002,187.1755096436,1,186.4892211914,1,187.5749763489,-1,,-1,,-1,,-1,187.1316924758,186.9581041533,38.552524841,76.3805693101,0.1735883225,0.3671225436,-0.19353422110000001,194.9354094257,187.5749763489,180.2145432721,14.7208661536,0.49514520230000003,-42.5513008662,-42.5513008662,3.213760376,1.7438627981,-3.301071167,-1.7300796213,3.1443634033,1.7055640957,0.0113452312,,57862570.0,0.7803870447,8466758473.144532,177.7451517324,194.731363668,1,1
2024-02-12,185.8156280518,187.3247948043,185.4581942196,187.0765772861,41781900,-0.009001866,-0.0090426276,1.8666005847,-1.2609492344,187.1177581787,-1,186.0587463379,-1,187.6478004456,-1,,-1,,-1,,-1,186.927863507,186.864138209,31.7734259693,53.250942693,0.063725298,0.3063678839,-0.2426425859,194.9023243626,187.6478004456,180.3932765285,14.509047834,0.3737220792,-52.4880747398,-52.4880747398,-0.2887573242,-0.1551587963,-4.3047485352,-2.2642226007,1.4564819336000001,0.7900242349000001,0.0115730182,,57326200.0,0.7288447516000001,7763729989.69574,177.7451517324,194.731363668,-1,1
2024-02-13,183.7206573486,184.8823285757,182.2015674671,184.4454633535,56529500,-0.0112744591,-0.0113384976,2.6807611085,-0.7248060049,186.3197357178,-1,185.7846755981,-1,187.7294143677,-1,,-1,,-1,,-1,186.4316507884,186.607690467,29.7773096599,46.8930356548,-0.1760396786,0.209790726,-0.3858304046,194.7536674713,187.7294143677,180.705161264,14.0485062073,0.2146488773,-64.5940248843,-64.8214349443,-3.9901123047000002,-2.1256704195,-2.7407073975,-1.4698526964,1.6322784424,0.8964209864,0.0104948587,0.0117923852,57393210.0,0.9849510073000001,10385636899.589539,177.7451517324,194.731363668,-1,1
2024-02-14,182.8370056152,184.207171072,181.1392063883,183.9986768547,54630500,-0.0048097571,-0.0048213612,3.0679646837,-1.1616712395,185.3231628418,-1,185.7831848145,-1,187.8139465332,-1,,-1,,-1,,-1,185.8759787511,186.302366896,29.0622723938,30.1431599797,-0.4263881449,0.0824540653,-0.5088422102,194.5389478144,187.8139465332,181.088945252,13.4500025623,0.1299672885,-66.8925449432,-70.0236056034,-4.9828643799000005,-2.6530017192,-0.0149078369,-0.008152956500000001,1.6906433105,0.9333023799,0.0085643737,0.0117437797,57309480.0,0.9532541562,9988477035.263063,177.7451517324,194.731363668,-1,1
2024-02-15,182.5491027832,183.1746158134,180.0570042099,182.2413154668,65434500,-0.001574642,-0.0015758831,3.1176116035,0.3077873164,184.4851806641,-1,185.5089691162,-1,187.5890823364,-1,,-1,,-1,,-1,185.3620781645,186.0005362339,30.9986548802,12.6445793643,-0.6384580694,-0.0618198061,-0.5766382634,194.7111747863,187.5890823364,180.4669898866,14.2441848997,0.14617283550000001,-62.5897812554,-71.718526361,-4.1899108887,-2.243725511,-2.7421569824,-1.47991707,-4.4972839355,-2.4043682503,0.0071735567,0.0114990535,57364390.0,1.1406815273,11945009266.067505,177.7451517324,194.731363668,-1,-1
2024-02-16,181.0101470947,183.5320456548,180.3747108312,182.1122335214,49752500,-0.008430365700000001,-0.0084661022,3.1573348237,-1.1020864267000001,183.1865081787,-1,185.1810089111,-1,187.141999054,-1,,-1,,-1,,-1,184.690256636,185.601748184,29.8251245876,9.1680299221,-0.9114915480000001,-0.2318403651,-0.6796511828,194.7459063433,187.141999054,179.5380917646,15.2078145787,0.09679598090000001,-73.7638779123,-80.7785551321,-6.4933624268,-3.4630618079,-3.2796020508,-1.7795900564,-8.9416656494,-4.707333676,0.0074177406,0.0115862759,52084470.0,0.9552271531000001,9005707343.330383,177.7451517324,194.731363668,-1,-1
2024-02-19,181.0101470947,183.5320456548,180.3747108312,182.1122335214,49752500,0.0,0.0,3.1573348237,-1.1020864267000001,182.2254119873,-1,184.671585083,-1,186.5793952942,-1,,-1,,-1,,-1,184.1224456102,185.2369571071,35.5933816443,10.5333532359,-1.1145114969,-0.4084462313,-0.7060652656,194.2529265812,186.5793952942,178.9058640072,15.3470625741,0.1371130845,-72.096321318,-80.7785551321,-4.805480957,-2.5861554313,-5.0942382812,-2.7373015799,-11.2520751953,-5.8524628818,0.0062690736,0.0106743298,50092840.0,0.9932058154000001,9005707343.330383,177.7451517324,194.731363668,-1,-1
2024-02-20,180.2654876709,181.1292797847,178.7166127841,180.4938435452,53665600,-0.0041139098,-0.0041223952,2.4126670006,-0.2283558743,181.5343780518,-1,183.9270568848,-1,185.915599823,-1,,-1,,-1,,-1,183.5276134456,184.8440974416,41.9447829087,0.0,-1.3164839961,-0.5901127384,-0.7263712577,193.3463766941,185.915599823,178.48482295190001,14.8615537423,0.11981686100000001,-78.4604152857,-85.1624603056,-3.4551696777,-1.8806647699,-7.4452819824,-3.9663584546,-13.2759094238,-6.8594675987,0.0048268443,0.0106902562,51110320.0,1.0499953825,9674055555.151367,177.7451517324,194.731363668,-1,-1
2024-02-21,181.0200805664,181.586008635,179.3719125948,180.6427850874,41371400,0.0041860087,0.0041772717000000004,2.2140960402,0.37729547900000004,181.170993042,-1,183.2470779419,-1,185.3232467651,-1,,-1,,-1,,-1,183.141039584,184.5434008227,35.1381399685,11.9686727801,-1.4023612387,-0.7526046238,-0.6497566149,192.2954116393,185.3232467651,178.3510818909,13.9443297484,0.19140386980000001,-72.0114267404,-80.7200755151,-1.8169250488,-0.9937403223000001,-6.7997894287000005,-3.6203780936000003,-11.8470611572,-6.1426021309,0.0053188843,0.0106638398,49903560.0,0.8290270273,7489054161.14502,177.7451517324,194.6222624368,-1,-1
2024-02-22,183.0554351807,183.6412399887,181.159065014,182.1717814957,52292200,0.0112438057,0.011181064000000001,2.4821749746,0.8836536850000001,181.2722595215,1,182.8787200928,1,184.8490242004,-1,,-1,,-1,,-1,183.1278465861,184.4269276446,45.9933827317,44.674061767,-1.2990810585,-0.8619226152,-0.43715844330000003,190.995790304,184.8490242004,178.7022580969,12.2935322071,0.3541030365,-59.5617032316,-68.5355891699,0.5063323975,0.277367782,-3.6835784912,-1.9725811006,-9.4844512939,-4.9259670127,0.0070216054,0.0108664443,51036580.0,1.0246023538,9572371427.554323,177.7451517324,193.1249321297,1,-1
2024-02-23,181.2186584473,183.7206802403,180.9307176286,183.6908953487,45119700,-0.010033991800000001,-0.010084671600000001,2.7899626117,-2.4722369015,181.313961792,-1,182.2502349854,-1,184.3697280884,-1,,-1,,-1,,-1,182.8336897189,184.176845646,34.1635581459,38.7587335504,-1.3431559272,-0.9581852719,-0.3849706552,190.0374463044,184.3697280884,178.7020098724,11.335436432,0.22201602820000002,-76.6806622149,-77.415108505,0.2085113525,0.11519318440000001,-6.2848510742,-3.3518578347,-9.5859222412,-5.0239476467,0.0070873626,0.0110083508,51033030.0,0.8841273975,8176531503.54309,177.7451517324,190.586432035,1,-1
2024-02-26,179.868347168,181.4569302046,179.3619737316,180.9406486714,40867400,-0.0074512817,-0.007479181200000001,2.0949564729,-1.0723015034,181.0856018066,-1,181.655506897,-1,183.8571266174,-1,,-1,,-1,,-1,182.3769107993,183.8422980736,24.1507057795,33.7739438831,-1.4653872743,-1.059639158,-0.4057481164,189.1788132933,183.8571266174,178.5354399416,10.6433733518,0.125233531,-89.265710242,-83.4658586562,-1.1417999268,-0.6307933257,-5.9472808838,-3.2006354612,-10.2520294189,-5.3923885503,0.0069666567000000006,0.0110801731,50941580.0,0.8022405273000001,7350751691.052246,177.7451517324,190.1898085739,-1,-1
2024-02-27,181.3278656006,182.608661324,178.2797472159,179.8087756066,54318900,0.0081143706,0.008081626100000001,4.3289141081,1.519089994,181.2980773926,1,181.4162277222,-1,183.6004516602,-1,,-1,,-1,,-1,182.2153479275,183.6477520235,30.3509906249,51.9417566267,-1.432404096,-1.1342000742,-0.2982040217,188.888354886,183.6004516602,178.3125484343,10.5758064517,0.2851146322,-70.5656020197,-71.2108263504,1.0623779297,0.5893407237,-2.392791748,-1.3024075695000001,-5.1334991455,-2.7531167931000002,0.0071727644,0.0109728792,50720520.0,1.0709452506,9849530198.77167,177.7451517324,189.4461012722,1,-1
2024-02-28,180.1264801025,181.8143561336,178.8456844222,181.2087048057,48953900,-0.0066254875,-0.0066475334,2.9686717115,-1.0822247032,181.1193572998,-1,181.1451751709,-1,183.4641799927,-1,,-1,,-1,,-1,181.8936950713,183.3762005294,30.1311541251,45.2909263,-1.4825054581,-1.2038670776,-0.2786383805,188.9693142869,183.4641799927,177.9590456985,11.0102685884,0.1968557249,-82.1668767782,-79.6484177455,-0.8936004639,-0.49364714740000004,-2.7105255127,-1.4824818989000002,-2.7254333496000003,-1.4905139892000001,0.0072938099,0.0109992852,50152860.0,0.9760938858,8817893694.291687,177.7451517324,189.4461012722,-1,-1
2024-02-29,179.4612731934,181.2683040737,178.2499704417,179.9775698949,136682600,-0.003692999,-0.0036998349000000002,3.018333632,-0.5162967015000001,180.4005249023,-1,180.8363922119,-1,183.1726806641,-1,,-1,,-1,,-1,181.519192021,183.0752073694,25.690240784,45.6777285543,-1.5560153483999999,-1.2743015253,-0.2817138231,188.8840082314,183.1726806641,177.4613530967,11.4226551347,0.175083645,-86.6520529404,-85.3334854993,-3.5941619873,-1.9634281734,-3.0878295898,-1.6915063086000002,-5.8299865723,-3.1463904879,0.007327915700000001,0.0091124829,57277670.0,2.3863156444999998,24529233419.378662,177.7451517324,189.4461012722,-1,-1
2024-03-01,178.3790435791,179.2428357073,176.1153009913,178.2698272635,73563100,-0.0060304354,-0.0060486919,3.127534716,0.1092163156,179.8326019287,-1,180.5732818604,-1,182.8771453857,-1,,-1,,-1,,-1,181.0357817429,182.7151615552,26.6666347489,36.2885657112,-1.6793798123,-1.3553215939,-0.3240582185,188.9456280671,182.8771453857,176.8086627044,12.1369653627,0.1293882637,-74.1789042408,-83.0187045032,-2.8396148682,-1.5669550214,-2.6311035156,-1.4535668623,-5.9107055664,-3.2072893874,0.0071185975000000005,0.0085700598,59658730.0,1.2330651356,13122115420.713806,176.1153009913,189.4461012722,-1,-1
2024-03-04,173.8515472412,175.6387011642,172.5508747839,174.8940486463,81510100,-0.0253813242,-0.025708986200000002,3.0878263803,-1.0425014051,178.6292419434,-1,179.857421875,-1,182.264503479,-1,,-1,,-1,,-1,179.929913829,182.0373635578,23.1351057679,12.0393259558,-2.1074497288,-1.5057537731,-0.6016959557,189.3499300576,182.264503479,175.1790769004,14.1708531571,-0.09368029180000001,-88.8414602278,-92.3015387916,-6.0167999268,-3.3451132573,-7.1585998535,-3.9548058318,-12.2528381348,-6.5838524493,0.0103426959,0.0091438974,62834490.0,1.297219091,14170657000.785828,172.5508747839,189.4461012722,-1,-1
2024-03-05,168.907043457,170.8133520831,168.4106084456,169.5424796657,95132400,-0.028440953600000003,-0.0288532334,2.4027436376,-0.6354362087000001,176.1450775146,-1,178.7215774536,-1,181.3243171692,-1,,-1,,-1,,-1,178.233307338,181.0356914548,18.9463909109,9.582770629,-2.8023841168,-1.7650888783,-1.0372952384,190.1447056152,181.3243171692,172.5039287232,17.6407768919,-0.2038960806,-96.7574612443,-97.6400124515,-12.4208221436,-6.8499246392,-11.3584442139,-6.3009533109,-18.8037261963,-10.0173933712,0.0129183497,0.010027593000000001,66981170.0,1.420285731,16068532420.97168,168.4106084456,189.4461012722,-1,-1
2024-03-06,167.9141845703,170.0190794606,167.4773193072,169.8403549666,68587700,-0.0058781379,-0.0058954821,2.5417601533000003,-1.9261703963,173.7026184082,-1,177.410987854,-1,180.3290328979,-1,,-1,,-1,,-1,176.6451319484,180.0369018848,18.3690389816,9.8130764417,-3.3917699365000002,-2.0904341593,-1.3013357772,190.458448975,180.3290328979,170.1996168209,20.2588321542,-0.1128116484,-97.3104995643,-98.011427016,-12.2122955322,-6.7798446543,-13.1058959961,-7.2400232919,-19.9056854248,-10.5982851683,0.012381921700000001,0.0100289284,69702800.0,0.9840020774,11516847717.053223,167.4773193072,188.6353807394,-1,-1
2024-03-07,167.7950439453,169.5127049461,167.2886856572,167.9439683977,71765100,-0.0007095328000000001,-0.0007097847,2.2240192888,-0.14892445240000002,171.3693725586,-1,175.8849487305,-1,179.3818344116,-1,,-1,,-1,,-1,175.2831314657,179.1069710682,19.5701348722,0.0,-3.8238396026,-2.4371229792999998,-1.3867166231999999,190.483692093,179.3818344116,168.2799767303,22.2037153627,-0.021840164000000002,-96.9184612037,-97.6279312271,-11.666229248,-6.5006945735,-15.2603912354,-8.3364862782,-18.9439697266,-10.1446234261,0.0108641546,0.0100402565,71650090.0,1.001605162,12041828108.239746,167.2886856572,188.6353807394,-1,-1
